I
1000 Generated by WorldEditor

112 -27.56914823  152.99844948 -27.56917560  152.99843816
111 -27.56919385  152.99839906
112 -27.56917834  152.99834452 -27.56916922  152.99832393
111 -27.56912452  152.99832085
111 -27.56898023  152.99836194
111 -27.56896450  152.99830427
112 -27.56911571  152.99824938 -27.56915092  152.99823706
112 -27.56912421  152.99815761 -27.56911692  152.99813433
111 -27.56908535  152.99814118
111 -27.56893233  152.99818629
111 -27.56885517  152.99789576
112 -27.56900279  152.99784532 -27.56903921  152.99783162
112 -27.56899550  152.99763986 -27.56897486  152.99755220
111 -27.56888987  152.99755220
111 -27.56874902  152.99759192
111 -27.56873489  152.99751209
111 -27.56908657  152.99742071
111 -27.56910599  152.99750563
111 -27.56903071  152.99752344
112 -27.56904771  152.99759192 -27.56905621  152.99761521
112 -27.56910478  152.99760973 -27.56912542  152.99759740
111 -27.56918492  152.99757138
112 -27.56940776  152.99749927 -27.56945948  152.99748286
111 -27.56946755  152.99740264
112 -27.56943847  152.99715470 -27.56945301  152.99701432
111 -27.56961624  152.99696145
112 -27.57077831  152.99654516 -27.57097077  152.99647555
111 -27.57107887  152.99670194
112 -27.57150642  152.99816273 -27.57152912  152.99825163
111 -27.57162349  152.99825122
111 -27.57223869  152.99803071
111 -27.57248214  152.99888788
111 -27.57246179  152.99901035
111 -27.57231897  152.99905401
111 -27.57223304  152.99898548
112 -27.57204105  152.99830563 -27.57201972  152.99821739
111 -27.57193979  152.99822821
112 -27.57165324  152.99833505 -27.57159010  152.99836107
111 -27.57159739  152.99845010
112 -27.57237672  153.00107064 -27.57238480  153.00109251
111 -27.57241477  153.00109367
112 -27.57279293  153.00096423 -27.57282525  153.00095147
111 -27.57284464  153.00085849
111 -27.57293999  153.00094053
112 -27.57291252  153.00107727 -27.57288505  153.00103898
111 -27.57281717  153.00103716
112 -27.57246486  153.00116478 -27.57240992  153.00118666
111 -27.57240992  153.00124317
112 -27.57307120  153.00358078 -27.57308442  153.00363050
111 -27.57313618  153.00363317
112 -27.57354570  153.00348249 -27.57357329  153.00346880
111 -27.57358323  153.00338412
111 -27.57367926  153.00350491
112 -27.57365387  153.00361076 -27.57363621  153.00356966
111 -27.57352583  153.00357091
112 -27.57317151  153.00370913 -27.57312625  153.00372656
111 -27.57312294  153.00380377
112 -27.57373481  153.00592742 -27.57374986  153.00597383
111 -27.57380496  153.00597231
112 -27.57423462  153.00580456 -27.57425834  153.00579221
111 -27.57427203  153.00573252
111 -27.57436325  153.00579118
112 -27.57432950  153.00591674 -27.57430852  153.00590027
111 -27.57426838  153.00590233
112 -27.57382763  153.00605384 -27.57378549  153.00607308
111 -27.57378649  153.00610931
112 -27.57454654  153.00868500 -27.57456232  153.00874664
111 -27.57464610  153.00872609
112 -27.57496314  153.00861211 -27.57503842  153.00857923
111 -27.57501656  153.00847376
111 -27.57480772  153.00778339
111 -27.57484172  153.00767791
111 -27.57498256  153.00762723
111 -27.57506513  153.00768066
111 -27.57533237  153.00857298
112 -27.57467101  153.00882264 -27.57459573  153.00885414
111 -27.57462123  153.00896098
112 -27.57524124  153.01110344 -27.57526254  153.01118085
111 -27.57532643  153.01119153
112 -27.57652865  153.01096250 -27.57659727  153.01093847
111 -27.57660460  153.01085412
111 -27.57659653  153.01079347
111 -27.57658697  153.01072160
111 -27.57657810  153.01065499
112 -27.57637448  153.00944957 -27.57636786  153.00939851
111 -27.57633033  153.00940598
112 -27.57609301  153.00944707 -27.57599919  153.00946326
111 -27.57597932  153.00938108
111 -27.57558569  153.00805717
112 -27.57592627  153.00793435 -27.57595529  153.00792406
111 -27.57595778  153.00786605
112 -27.57592627  153.00765554 -27.57592046  153.00762093
111 -27.57592958  153.00759941
111 -27.57601871  153.00757714
111 -27.57602829  153.00764154
112 -27.57599593  153.00764993 -27.57598847  153.00765180
111 -27.57599095  153.00768923
111 -27.57602412  153.00790348
111 -27.57625870  153.00785105
111 -27.57625870  153.00773674
111 -27.57645958  153.00769863
112 -27.57646491  153.00776682 -27.57646491  153.00778287
111 -27.57647202  153.00780693
111 -27.57657690  153.00777685
111 -27.57665512  153.00765852
111 -27.57677956  153.00774276
111 -27.57670490  153.00785707
111 -27.57661779  153.00791122
111 -27.57669799  153.00798138
111 -27.57647205  153.00801818
111 -27.57647024  153.00799545
111 -27.57639202  153.00791724
112 -27.57635469  153.00793128 -27.57634403  153.00794331
112 -27.57635291  153.00803757 -27.57636358  153.00808169
111 -27.57642935  153.00810175
111 -27.57676178  153.00802754
111 -27.57676842  153.00806066
111 -27.57679556  153.00823210
111 -27.57677245  153.00824013
111 -27.57679201  153.00843065
111 -27.57700177  153.00839455
111 -27.57695200  153.00800548
111 -27.57685294  153.00724809
111 -27.57672909  153.00727001
111 -27.57671816  153.00722892
111 -27.57684637  153.00721389
111 -27.57684008  153.00714639
111 -27.57685582  153.00707533
111 -27.57669836  153.00633988
111 -27.57678339  153.00631146
112 -27.57708520  153.00823162 -27.57709322  153.00827682
112 -27.57715733  153.00834312 -27.57718404  153.00834463
111 -27.57718137  153.00829038
111 -27.57721075  153.00827833
111 -27.57724681  153.00849983
111 -27.57722811  153.00850585
112 -27.57715466  153.00845914 -27.57712127  153.00846366
111 -27.57712260  153.00849983
111 -27.57711859  153.00894997
112 -27.57720100  153.00950058 -27.57720262  153.00951882
111 -27.57721787  153.00952594
111 -27.57742796  153.00948765
111 -27.57745382  153.00965539
111 -27.57742311  153.00965904
112 -27.57738756  153.00960981 -27.57737140  153.00960252
112 -27.57734070  153.00960981 -27.57732292  153.00961528
111 -27.57730837  153.00963898
112 -27.57759052  153.01138685 -27.57759763  153.01142094
111 -27.57762526  153.01142927
111 -27.57769103  153.01142727
111 -27.57770105  153.01148462
111 -27.57757897  153.01150648
111 -27.57754968  153.01151140
112 -27.57733638  153.01154817 -27.57729752  153.01155639
111 -27.57731252  153.01159205
111 -27.57731626  153.01161690
111 -27.57732111  153.01164916
111 -27.57732547  153.01167817
111 -27.57733102  153.01171515
111 -27.57744685  153.01248589
111 -27.57738942  153.01249342
111 -27.57730127  153.01198111
111 -27.57721929  153.01199802
112 -27.57722689  153.01206870 -27.57722826  153.01207952
111 -27.57723613  153.01207947
111 -27.57726992  153.01207284
111 -27.57728119  153.01216012
112 -27.57690911  153.01222598 -27.57687379  153.01223345
111 -27.57688747  153.01225551
112 -27.57690408  153.01236933 -27.57691054  153.01240397
111 -27.57698488  153.01249877
111 -27.57701155  153.01262840
111 -27.57706811  153.01262111
111 -27.57705906  153.01258082
111 -27.57721744  153.01254435
111 -27.57727351  153.01292267
112 -27.57699362  153.01298857 -27.57696130  153.01301227
111 -27.57695807  153.01306879
111 -27.57699245  153.01321730
111 -27.57692780  153.01322824
112 -27.57689842  153.01306597 -27.57689680  153.01304774
112 -27.57691473  153.01300100 -27.57691958  153.01295542
111 -27.57699553  153.01290984
111 -27.57674557  153.01294826
111 -27.57674357  153.01293576
111 -27.57671374  153.01274899
111 -27.57679874  153.01273804
112 -27.57678481  153.01267207 -27.57676660  153.01263371
111 -27.57671196  153.01264467
112 -27.57616755  153.01274686 -27.57612991  153.01276055
111 -27.57613355  153.01280713
112 -27.57614448  153.01287973 -27.57615420  153.01291260
111 -27.57619427  153.01290164
111 -27.57648689  153.01284959
111 -27.57650267  153.01292219
112 -27.57621005  153.01296329 -27.57617241  153.01297698
111 -27.57616512  153.01299479
112 -27.57617484  153.01306876 -27.57618091  153.01309205
111 -27.57621126  153.01315506
111 -27.57652695  153.01309205
111 -27.57653528  153.01316930
112 -27.57627933  153.01320525 -27.57624706  153.01321495
111 -27.57622808  153.01324270
111 -27.57623277  153.01329543
111 -27.57613597  153.01330999
112 -27.57609080  153.01299210 -27.57606499  153.01291444
111 -27.57592947  153.01290959
111 -27.57509478  153.01308442
111 -27.57509779  153.01309687
112 -27.57504962  153.01312970 -27.57496633  153.01317838
111 -27.57503541  153.01339665
111 -27.57477141  153.01348965
112 -27.57470921  153.01327446 -27.57468931  153.01321833
111 -27.57456905  153.01321967
111 -27.57454021  153.01307578
112 -27.57464496  153.01293500 -27.57465528  153.01283115
111 -27.57462384  153.01253401
112 -27.57433322  153.01152358 -27.57432643  153.01149966
113 -27.57427370  153.01149246
111 -27.57546732  153.01125882
112 -27.57532975  153.01143059 -27.57537249  153.01157826
111 -27.57573436  153.01282303
112 -27.57574895  153.01283641 -27.57575078  153.01284567
111 -27.57575078  153.01285493
111 -27.57585477  153.01283229
112 -27.57591133  153.01280656 -27.57593322  153.01278907
112 -27.57616311  153.01266454 -27.57627167  153.01264602
111 -27.57664644  153.01257524
112 -27.57682128  153.01227114 -27.57678850  153.01203690
111 -27.57664573  153.01109295
114 -27.57654374  153.01103816 -27.57646603  153.01105186
111 -27.57715564  153.01200992
111 -27.57708025  153.01202398
112 -27.57707153  153.01205772 -27.57707527  153.01208303
112 -27.57710517  153.01210903 -27.57712449  153.01210692
111 -27.57716187  153.01209990
112 -27.57716935  153.01206967 -27.57716935  153.01205069
114 -27.57716374  153.01202046 -27.57716187  153.01201695
111 -27.57701171  153.01212731
112 -27.57702293  153.01209708 -27.57702293  153.01208092
112 -27.57701483  153.01205420 -27.57700860  153.01203804
111 -27.57700548  153.01203593
111 -27.57696747  153.01204015
111 -27.57695003  153.01191151
111 -27.57697121  153.01190800
111 -27.57696890  153.01189650
111 -27.57707383  153.01188275
111 -27.57728649  153.01184895
111 -27.57725315  153.01159959
112 -27.57722075  153.01157358 -27.57719084  153.01157780
111 -27.57705546  153.01160336
111 -27.57702737  153.01137088
111 -27.57719646  153.01133818
111 -27.57715663  153.01113612
111 -27.57697935  153.01117173
111 -27.57685186  153.01120187
111 -27.57683486  153.01106900
111 -27.57687979  153.01105941
111 -27.57686765  153.01097311
111 -27.57674259  153.01099366
112 -27.57670980  153.01104845 -27.57671466  153.01109913
111 -27.57674137  153.01123748
111 -27.57679480  153.01126762
111 -27.57680301  153.01132923
111 -27.57675716  153.01138155
111 -27.57676038  153.01140484
111 -27.57681635  153.01143401
111 -27.57682352  153.01149029
111 -27.57678265  153.01152514
112 -27.57679480  153.01160048 -27.57679965  153.01161144
111 -27.57684301  153.01163775
111 -27.57685096  153.01170018
111 -27.57681180  153.01174842
111 -27.57681422  153.01176623
111 -27.57686431  153.01180495
111 -27.57687148  153.01186123
111 -27.57683972  153.01191828
111 -27.57687008  153.01212512
114 -27.57689800  153.01214430 -27.57692472  153.01214156
111 -27.57693679  153.01105065
111 -27.57702984  153.01103109
111 -27.57701889  153.01094259
113 -27.57692584  153.01095905
111 -27.57708731  153.01101977
111 -27.57716941  153.01100125
111 -27.57717671  153.01097861
111 -27.57716941  153.01091068
113 -27.57707271  153.01092612
112 -27.57723254  153.01097062 -27.57723436  153.01098297
112 -27.57724257  153.01098914 -27.57724349  153.01099429
111 -27.57729275  153.01098194
111 -27.57733106  153.01126805
111 -27.57727268  153.01128142
111 -27.57727541  153.01132053
111 -27.57748523  153.01128760
112 -27.57748979  153.01131642 -27.57749253  153.01132465
112 -27.57750986  153.01133391 -27.57751989  153.01133288
111 -27.57751260  153.01129995
112 -27.57745148  153.01085432 -27.57745148  153.01085123
111 -27.57742958  153.01083374
111 -27.57727906  153.01086873
111 -27.57727997  153.01089343
113 -27.57722250  153.01090166
111 -27.57723439  153.01058687
111 -27.57706907  153.01061294
111 -27.57701751  153.01025997
112 -27.57729483  153.01019980 -27.57731083  153.01019780
111 -27.57732505  153.01017574
111 -27.57724388  153.00978673
111 -27.57697974  153.00983541
111 -27.57697974  153.00991013
111 -27.57697422  153.00991636
111 -27.57692516  153.00992673
111 -27.57689892  153.00961820
111 -27.57674770  153.00963439
111 -27.57670686  153.00933552
111 -27.57655434  153.00936405
111 -27.57654437  153.00928518
111 -27.57647454  153.00929583
111 -27.57647454  153.00930542
111 -27.57651340  153.00933692
111 -27.57651799  153.00937085
111 -27.57655954  153.00967800
111 -27.57656754  153.00974881
111 -27.57653849  153.00975279
111 -27.57654852  153.00981248
112 -27.57652186  153.00982416 -27.57651274  153.00982725
111 -27.57650726  153.00984063
112 -27.57651821  153.00993016 -27.57652277  153.00996104
111 -27.57655439  153.00996293
111 -27.57661553  153.00995315
111 -27.57662731  153.01002594
112 -27.57657098  153.01003778 -27.57654776  153.01004527
111 -27.57654278  153.01007801
112 -27.57654941  153.01015193 -27.57655356  153.01017251
111 -27.57657098  153.01018561
111 -27.57660599  153.01019224
111 -27.57661238  153.01025090
112 -27.57658984  153.01026038 -27.57657439  153.01027158
111 -27.57657218  153.01030396
112 -27.57660309  153.01042226 -27.57661412  153.01045090
111 -27.57668587  153.01044343
111 -27.57669250  153.01050819
111 -27.57672340  153.01050570
111 -27.57677508  153.01086560
111 -27.57707858  153.01080953
111 -27.57709571  153.01084200
111 -27.57715312  153.01082971
111 -27.57720906  153.01081772
111 -27.57725815  153.01080721
113 -27.57725030  153.01073438
111 -27.57652811  153.00918205
111 -27.57665114  153.00915528
111 -27.57667297  153.00932079
111 -27.57675880  153.00930534
111 -27.57664915  153.00914992
112 -27.57656453  153.00913685 -27.57654268  153.00913959
111 -27.57650504  153.00916836
111 -27.57646618  153.00923822
113 -27.57653518  153.00923099
112 -27.57614806  153.00936024 -27.57615170  153.00936024
112 -27.57616142  153.00933695 -27.57616142  153.00932188
112 -27.57618813  153.00929449 -27.57620391  153.00928216
112 -27.57622334  153.00930681 -27.57622698  153.00931503
111 -27.57624641  153.00933832
111 -27.57633019  153.00932873
112 -27.57634719  153.00929723 -27.57636054  153.00927805
112 -27.57642065  153.00917390 -27.57644052  153.00914775
111 -27.57651006  153.00907427
111 -27.57651006  153.00905684
112 -27.57702223  153.00897341 -27.57706307  153.00896718
112 -27.57707443  153.00892355 -27.57708766  153.00890863
111 -27.57702301  153.00890366
111 -27.57699216  153.00852742
112 -27.57700832  153.00850421 -27.57702448  153.00848101
111 -27.57698775  153.00847438
111 -27.57660577  153.00854233
111 -27.57657303  153.00860610
111 -27.57632169  153.00866774
111 -27.57630712  153.00858418
112 -27.57620877  153.00860062 -27.57612985  153.00861569
111 -27.57613106  153.00870062
111 -27.57616142  153.00889650
112 -27.57614685  153.00890609 -27.57614442  153.00891157
112 -27.57615292  153.00898828 -27.57614928  153.00901978
111 -27.57613956  153.00901978
111 -27.57611042  153.00896088
112 -27.57606550  153.00871432 -27.57603879  153.00854446
111 -27.57621606  153.00852802
111 -27.57621404  153.00850767
111 -27.57619608  153.00836964
112 -27.57674909  153.00826639 -27.57676244  153.00826502
111 -27.57675880  153.00824036
111 -27.57647112  153.00828641
111 -27.57627677  153.00831707
111 -27.57624884  153.00813626
111 -27.57624641  153.00811160
112 -27.57627677  153.00809516 -27.57629134  153.00808695
111 -27.57629012  153.00805407
112 -27.57628163  153.00797736 -27.57627434  153.00793901
111 -27.57621970  153.00793764
111 -27.57603879  153.00797599
112 -27.57572213  153.00809145 -27.57567469  153.00810792
111 -27.57568473  153.00815114
112 -27.57570571  153.00823862 -27.57571210  153.00826332
111 -27.57576318  153.00825817
111 -27.57595671  153.00821957
111 -27.57596836  153.00828761
112 -27.57577029  153.00833401 -27.57572505  153.00834483
111 -27.57574287  153.00838504
111 -27.57576412  153.00843530
111 -27.57583334  153.00843452
111 -27.57594756  153.00840622
111 -27.57596060  153.00847814
112 -27.57584390  153.00850352 -27.57579082  153.00851943
111 -27.57580243  153.00856340
112 -27.57602697  153.00929789 -27.57604687  153.00936245
113 -27.57611156  153.00936151
111 -27.56918215  152.99765402
112 -27.56911163  152.99786948 -27.56915865  152.99805676
111 -27.56964008  152.99973049
112 -27.56982306  152.99980281 -27.56996597  152.99976062
112 -27.57006441  152.99970096 -27.57008057  152.99968273
112 -27.57009526  152.99957832 -27.57008057  152.99952859
111 -27.56983668  152.99867671
112 -27.56971768  152.99862534 -27.56968389  152.99863859
113 -27.56949877  152.99871815
111 -27.57695787  153.01270898
111 -27.57695164  153.01261760
111 -27.57687313  153.01260846
113 -27.57688746  153.01271952
110 3 1.00 107.8900 New Taxiway 193
111 -27.57164955  152.99893513
111 -27.57132355  152.99904055
111 -27.57098013  152.99784215
113 -27.57129597  152.99770801
110 3 1.00 107.8900 New Taxiway 193
111 -27.57485060  153.01004457
111 -27.57452275  153.01014747
111 -27.57415727  153.00886988
113 -27.57447195  153.00873046
110 1 1.00 51.1800 New Taxiway 196
111 -27.56441670  153.01145637
111 -27.56413823  153.01185252
111 -27.56392868  153.01166149
113 -27.56420509  153.01127083
110 1 1.00 51.1800 New Taxiway 196
111 -27.57103291  153.00197188
111 -27.57053850  153.00267107
111 -27.57033065  153.00246856
113 -27.57082130  153.00178634
110 1 1.00 51.1800 New Taxiway 196
111 -27.57178215  153.00459052
111 -27.57130555  153.00528197
111 -27.57109769  153.00507947
113 -27.57157054  153.00440498
110 1 1.00 51.1800 New Taxiway 196
111 -27.56623366  153.00885414
111 -27.56573142  153.00956254
111 -27.56552187  153.00937152
113 -27.56602205  153.00866860
110 1 1.00 51.1800 New Taxiway 196
111 -27.56612175  153.01254171
111 -27.56561951  153.01325011
111 -27.56540995  153.01305908
113 -27.56591014  153.01235617
110 2 1.00 9.5800 New Taxiway 27
111 -27.56832370  153.01371505
111 -27.56826791  153.01370740
111 -27.56816841  153.01372312
112 -27.56813159  153.01353965 -27.56812330  153.01351439
112 -27.56802461  153.01348820 -27.56795163  153.01350223
111 -27.56795578  153.01359859
111 -27.56789027  153.01361217
112 -27.56786268  153.01355739 -27.56783729  153.01352003
112 -27.56767392  153.01354743 -27.56757679  153.01356486
111 -27.56758783  153.01367942
111 -27.56761432  153.01373669
111 -27.56767172  153.01373047
111 -27.56768055  153.01380518
111 -27.56763198  153.01381638
111 -27.56763116  153.01382946
111 -27.56761751  153.01383327
111 -27.56754782  153.01384520
112 -27.56752491  153.01369311 -27.56751056  153.01360221
111 -27.56742235  153.01360091
112 -27.56729792  153.01362694 -27.56720460  153.01364618
111 -27.56721685  153.01373922
111 -27.56715623  153.01375245
112 -27.56713476  153.01369979 -27.56712152  153.01366991
111 -27.56706412  153.01367115
112 -27.56691842  153.01370104 -27.56684557  153.01371598
111 -27.56685440  153.01381186
111 -27.56678927  153.01382307
111 -27.56678486  153.01380065
112 -27.56674512  153.01374960 -27.56671532  153.01372719
111 -27.56668220  153.01374213
111 -27.56657872  153.01376576
111 -27.56656628  153.01368755
111 -27.56678375  153.01364252
111 -27.56676499  153.01349434
111 -27.56675726  153.01349683
111 -27.56674953  153.01344702
111 -27.56679258  153.01344329
111 -27.56680252  153.01348936
111 -27.56679148  153.01349060
111 -27.56681356  153.01363753
112 -27.56802789  153.01340735 -27.56818803  153.01337918
112 -27.56823064  153.01364435 -27.56824973  153.01370733
113 -27.56832294  153.01369209
110 2 1.00 9.5800 New Taxiway 30
111 -27.56755385  153.01389963
111 -27.56731072  153.01394631
111 -27.56730680  153.01390466
113 -27.56754909  153.01385698
110 2 1.00 9.5800 New Taxiway 29
111 -27.56721067  153.01422254
111 -27.56711242  153.01424245
111 -27.56718406  153.01471499
111 -27.56706143  153.01474238
111 -27.56692569  153.01379843
111 -27.56704811  153.01377239
111 -27.56705414  153.01379390
113 -27.56714841  153.01378554
110 1 1.00 9.5800 New Taxiway 28
111 -27.56685440  153.01381186
111 -27.56699230  153.01473127
112 -27.56690342  153.01473729 -27.56687853  153.01474130
111 -27.56683587  153.01478341
111 -27.56680911  153.01464635
112 -27.56687589  153.01463540 -27.56690260  153.01462992
112 -27.56687953  153.01451897 -27.56686982  153.01449295
111 -27.56678944  153.01451514
111 -27.56677632  153.01441488
112 -27.56683461  153.01440803 -27.56686132  153.01440255
111 -27.56686010  153.01438200
111 -27.56683825  153.01417655
111 -27.56681518  153.01418203
111 -27.56680547  153.01411355
111 -27.56683703  153.01410122
113 -27.56678927  153.01382307
110 2 1.00 9.5800 New Taxiway 31
111 -27.56732514  153.01402666
111 -27.56747185  153.01400046
111 -27.56747558  153.01402725
111 -27.56747808  153.01404519
113 -27.56733128  153.01406791
110 2 1.00 9.5800 New Taxiway 32
111 -27.56658228  153.01431121
111 -27.56664651  153.01429605
111 -27.56661704  153.01411204
111 -27.56673561  153.01408498
111 -27.56674246  153.01413060
111 -27.56680547  153.01411355
111 -27.56681518  153.01418203
111 -27.56675548  153.01419632
111 -27.56678084  153.01438806
111 -27.56665816  153.01440739
111 -27.56664925  153.01437028
113 -27.56659472  153.01438541
110 2 1.00 9.5800 New Taxiway 41
111 -27.56597972  153.01461315
111 -27.56599577  153.01460976
111 -27.56598473  153.01452486
111 -27.56595221  153.01452978
111 -27.56594192  153.01446643
111 -27.56596667  153.01445921
111 -27.56596567  153.01442298
111 -27.56607504  153.01428036
111 -27.56608631  153.01435533
111 -27.56614729  153.01433809
111 -27.56615460  153.01438702
111 -27.56609308  153.01440035
111 -27.56613517  153.01468035
111 -27.56614328  153.01473427
111 -27.56602788  153.01475578
111 -27.56602286  153.01472522
113 -27.56599978  153.01472635
110 1 1.00 9.5800 New Taxiway 24
111 -27.57111411  153.01319017
111 -27.57114931  153.01343944
112 -27.57113953  153.01349459 -27.57112780  153.01350342
111 -27.57110238  153.01351224
111 -27.57117473  153.01402182
111 -27.57076213  153.01408138
112 -27.57082861  153.01414756 -27.57087554  153.01414094
111 -27.57144849  153.01401961
112 -27.57151190  153.01391954 -27.57151190  153.01388344
111 -27.57146923  153.01365081
111 -27.57154034  153.01366083
111 -27.57162831  153.01425761
111 -27.57153462  153.01427230
112 -27.57149558  153.01408438 -27.57142010  153.01409319
111 -27.57123270  153.01413136
111 -27.57123791  153.01419889
111 -27.56950051  153.01449805
111 -27.56949406  153.01444709
111 -27.56928541  153.01445922
111 -27.56837246  153.01469681
111 -27.56776852  153.01481114
111 -27.56777404  153.01486095
111 -27.56737667  153.01493939
111 -27.56736784  153.01488709
111 -27.56732479  153.01489955
111 -27.56733142  153.01495060
111 -27.56714818  153.01498297
111 -27.56713825  153.01493441
111 -27.56676816  153.01501467
111 -27.56677462  153.01506571
111 -27.56659201  153.01509124
111 -27.56658392  153.01504384
111 -27.56643524  153.01507118
111 -27.56644656  153.01512223
111 -27.56628980  153.01514228
111 -27.56628333  153.01509488
111 -27.56621885  153.01511445
112 -27.56618849  153.01518567 -27.56619456  153.01523498
111 -27.56622128  153.01525005
111 -27.56612050  153.01526648
112 -27.56613143  153.01520759 -27.56613021  153.01518156
111 -27.56611079  153.01510075
112 -27.56603398  153.01507824 -27.56599124  153.01508276
111 -27.56593381  153.01511440
111 -27.56595518  153.01518371
111 -27.56561744  153.01526525
111 -27.56560715  153.01513930
111 -27.56590980  153.01507135
111 -27.56589364  153.01497191
111 -27.56595828  153.01495700
112 -27.56592890  153.01481447 -27.56591274  153.01478132
112 -27.56587454  153.01468023 -27.56586719  153.01462885
111 -27.56584075  153.01451615
112 -27.56576574  153.01452592 -27.56574076  153.01456403
112 -27.56568053  153.01465187 -27.56564968  153.01468668
112 -27.56562176  153.01472479 -27.56560119  153.01475131
112 -27.56553802  153.01476954 -27.56551010  153.01477285
112 -27.56551304  153.01473474 -27.56555418  153.01470325
112 -27.56562176  153.01464358 -27.56564821  153.01459884
112 -27.56571579  153.01450271 -27.56573930  153.01446957
111 -27.56604488  153.01402210
111 -27.56587152  153.01388288
111 -27.56581863  153.01379008
111 -27.56590972  153.01382985
111 -27.56591853  153.01384808
111 -27.56607427  153.01398564
112 -27.56637962  153.01372510 -27.56656628  153.01368755
111 -27.56656628  153.01368755
111 -27.56657872  153.01376576
112 -27.56649517  153.01387405 -27.56651117  153.01399036
112 -27.56655917  153.01430720 -27.56656983  153.01430920
111 -27.56658228  153.01431121
111 -27.56659472  153.01438541
111 -27.56656983  153.01439543
111 -27.56660361  153.01461000
111 -27.56667116  153.01460800
111 -27.56668716  153.01458794
111 -27.56670138  153.01463407
111 -27.56660361  153.01464810
112 -27.56659294  153.01477244 -27.56658583  153.01480653
111 -27.56657872  153.01482257
111 -27.56659650  153.01496495
111 -27.56826889  153.01464143
112 -27.56829431  153.01461055 -27.56829627  153.01460173
111 -27.56829627  153.01460173
111 -27.56811246  153.01463261
111 -27.56745933  153.01475173
111 -27.56737329  153.01418260
112 -27.56731462  153.01419143 -27.56728725  153.01419363
111 -27.56727356  153.01420246
111 -27.56733418  153.01464364
111 -27.56727160  153.01465025
111 -27.56721067  153.01422254
111 -27.56714841  153.01378554
112 -27.56715623  153.01376348 -27.56715623  153.01375907
111 -27.56715623  153.01375245
111 -27.56721685  153.01373922
111 -27.56723640  153.01387378
112 -27.56726183  153.01391128 -27.56728138  153.01391128
111 -27.56730680  153.01390466
111 -27.56731072  153.01394631
111 -27.56725589  153.01395615
112 -27.56724717  153.01397372 -27.56724904  153.01398918
112 -27.56725278  153.01401097 -27.56725589  153.01401308
112 -27.56728518  153.01403136 -27.56731135  153.01402925
111 -27.56732630  153.01402925
111 -27.56733128  153.01406791
111 -27.56726212  153.01408267
112 -27.56725652  153.01409954 -27.56725901  153.01411711
111 -27.56726150  153.01412554
112 -27.56730574  153.01414803 -27.56734063  153.01414382
111 -27.56734063  153.01414382
111 -27.56749730  153.01411225
111 -27.56756365  153.01410545
112 -27.56757722  153.01409184 -27.56758400  153.01407738
111 -27.56757722  153.01409184
112 -27.56757722  153.01409184 -27.56757715  153.01407598
111 -27.56756930  153.01401891
111 -27.56747558  153.01402725
111 -27.56747092  153.01400084
111 -27.56754329  153.01398128
112 -27.56756365  153.01396257 -27.56756139  153.01394216
111 -27.56755385  153.01389963
111 -27.56754909  153.01385698
111 -27.56754782  153.01384520
111 -27.56761751  153.01383327
111 -27.56762882  153.01388430
112 -27.56765294  153.01390301 -27.56767556  153.01390131
111 -27.56769516  153.01389961
111 -27.56770270  153.01395234
112 -27.56765370  153.01396425 -27.56764389  153.01396510
112 -27.56763636  153.01398381 -27.56763711  153.01399741
112 -27.56766123  153.01402803 -27.56768084  153.01402548
111 -27.56771326  153.01401867
111 -27.56772456  153.01407226
112 -27.56766953  153.01408926 -27.56765294  153.01410372
112 -27.56765219  153.01411138 -27.56765445  153.01412413
112 -27.56767480  153.01415985 -27.56769667  153.01415730
111 -27.56774869  153.01414880
111 -27.56812268  153.01407310
111 -27.56817428  153.01433145
111 -27.56828183  153.01431447
111 -27.56826324  153.01415511
111 -27.56898758  153.01405919
111 -27.56904012  153.01440872
112 -27.56911347  153.01441673 -27.56915843  153.01440605
111 -27.56902429  153.01389985
111 -27.56862850  153.01397265
112 -27.56857257  153.01384405 -27.56853816  153.01384405
111 -27.56817033  153.01390956
111 -27.56814022  153.01372757
111 -27.56816841  153.01372312
111 -27.56826791  153.01370740
111 -27.56832370  153.01371505
111 -27.56832294  153.01369209
111 -27.56879779  153.01360448
111 -27.56861696  153.01234525
111 -27.56872071  153.01232505
111 -27.56872841  153.01238476
111 -27.56883526  153.01236285
111 -27.56883036  153.01230371
111 -27.56893290  153.01228376
111 -27.56912257  153.01350655
112 -27.56917768  153.01353262 -27.56922034  153.01351858
111 -27.57040341  153.01329012
113 -27.57040986  153.01333380
111 -27.56889771  153.01353044
111 -27.56890434  153.01358025
111 -27.56899927  153.01356780
112 -27.56901141  153.01355410 -27.56901141  153.01353791
113 -27.56900368  153.01350927
111 -27.56746660  153.01417258
111 -27.56753460  153.01460541
111 -27.56755281  153.01464239
111 -27.56762229  153.01463097
111 -27.56762472  153.01459124
111 -27.56761865  153.01452550
111 -27.56753286  153.01453822
111 -27.56752679  153.01448206
112 -27.56759479  153.01447795 -27.56761664  153.01446700
111 -27.56761543  153.01445056
112 -27.56758143  153.01415608 -27.56757658  153.01413279
111 -27.56756322  153.01414375
113 -27.56748065  153.01415471
111 -27.56640047  153.01418257
112 -27.56648027  153.01411324 -27.56647024  153.01403915
111 -27.56644652  153.01382510
112 -27.56632428  153.01380452 -27.56624491  153.01385186
